Timestamp,Student Name,Your DuckID,Python experience,Java experience,Javascript experience,C experience,C++ experience,PHP experience,HTML experience,SQL experience,Bash/Unix experience,Monday,Tuesday,Wednesday,Thursday,Friday,Desired Teammates DuckIDs (separated by ';')
2017/04/13 4:57:51 PM MDT,Brian Leeson,bel,5,3,2,4,4,0,2,2,3,10:00 - 12:00;12:00 - 2:00,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,None,None,jamiez; amiec
2017/04/18 10:56:22 AM MDT,Amie Corso,acorso,4,4,0,1,0,0,0,0,2,None,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,None,None,None,jzim; blesson
2017/04/18 10:56:22 AM MDT,Howard Lin,hlin,4,2,1,5,3,1,2,1,5,None,12:00 - 2:00;2:00 - 4:00,2:00 - 4:00;4:00 - 6:00,2:00 - 4:00,None,kbud; kbud
2017/04/18 10:56:22 AM MDT,Garett Roberts,groberts,2,0,0,3,2,3,0,0,3,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,12:00 - 2:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Anisha Malynur,amalynur,0,1,3,2,0,2,1,3,2,12:00 - 2:00,None,12:00 - 2:00;2:00 - 4:00,2:00 - 4:00,2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Sam Oberg,soberg,1,4,2,4,1,0,3,5,4,None,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,rguy; kbud
2017/04/18 10:56:22 AM MDT,Jared Galloway,jgallowa,4,5,1,5,3,1,2,4,4,2:00 - 4:00,2:00 - 4:00,None,2:00 - 4:00,2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Zach Schmidt,zschmidt,5,3,5,4,2,2,4,2,0,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Saige Tessler,stessler,3,2,4,4,0,1,4,4,1,2:00 - 4:00;4:00 - 6:00,None,2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,None,rguy; kbud
2017/04/18 10:56:22 AM MDT,Tina Silva,tsilva,2,4,2,0,1,3,3,4,4,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,None,12:00 - 2:00,
2017/04/18 10:56:22 AM MDT,Katy Bud,kbud,4,5,0,3,0,3,2,2,5,None,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,10:00 - 12:00,2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Chloe Paschke,cpaschke,4,4,1,2,3,3,0,0,3,2:00 - 4:00,None,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Delaney Burkett,dburkett,3,4,4,1,2,2,1,3,2,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,10:00 - 12:00;12:00 - 2:00,12:00 - 2:00;2:00 - 4:00,2:00 - 4:00,
2017/04/18 10:56:22 AM MDT,Random Guy,rguy,2,2,5,0,1,1,4,2,4,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,None,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,None,
2017/04/18 10:56:22 AM MDT,Even Number,enumber,1,0,3,1,3,3,0,0,1,None,2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,None,
2017/04/18 10:56:22 AM MDT,Odd Number,onumber,3,1,1,0,3,0,0,0,1,12:00 - 2:00;2:00 - 4:00,None,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,10:00 - 12:00;12:00 - 2:00,
2017/04/18 10:56:22 AM MDT,Last One,lone,4,3,0,2,4,3,0,4,0,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,2:00 - 4:00,None,None,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,
