Timestamp,Student Name,Your DuckID,Python experience,Java experience,Javascript experience,C experience,C++ experience,PHP experience,HTML experience,SQL experience,Bash/Unix experience,Monday,Tuesday,Wednesday,Thursday,Friday,Desired Teammates DuckIDs (separated by ';')
2017-04-24 21:00:20.263609,zlRJbDDSmO,boqmx,0,2,0,2,3,1,3,5,2,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,ghgjz; bvchv
2017-04-24 21:00:20.263747,RxlDIAowbR,zsvvt,2,5,1,5,2,2,2,4,3,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,2:00 - 4:00;4:00 - 6:00,dezae; xklpp
2017-04-24 21:00:20.263847,yftHErdWCi,nuxfu,5,2,3,2,1,0,1,0,5,10:00 - 12:00,None,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,2:00 - 4:00,None,qujsc; fhuei
2017-04-24 21:00:20.263939,pGCXYxXSNG,blngz,5,3,1,0,3,0,4,0,3,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,2:00 - 4:00;4:00 - 6:00,kakls; ljzhk
2017-04-24 21:00:20.264033,egbErqJhTR,fyhoo,0,2,4,4,0,0,4,3,3,2:00 - 4:00;4:00 - 6:00,4:00 - 6:00,2:00 - 4:00;4:00 - 6:00,None,12:00 - 2:00;2:00 - 4:00,xoetu; soruc
2017-04-24 21:00:20.264126,gswsZSfOWQ,ybllw,5,4,2,5,3,1,5,5,0,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,10:00 - 12:00;2:00 - 4:00;,10:00 - 12:00;12:00 - 2:00,bhmtj; xhesk
2017-04-24 21:00:20.264218,lNBpJkMGoj,lgxpw,3,0,3,2,0,1,0,2,0,2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,None,kfqel; pisrn
2017-04-24 21:00:20.264312,EUKOImgKJE,xopck,4,4,1,3,5,2,3,2,4,10:00 - 12:00;12:00 - 2:00;2:00 - 4:00,12:00 - 2:00,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,srmtl; taayo
2017-04-24 21:00:20.264404,BjXefUqmnZ,vpyvb,0,4,1,1,1,2,3,1,1,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,2:00 - 4:00;4:00 - 6:00,None,12:00 - 2:00;2:00 - 4:00,twwqa; aydtn
2017-04-24 21:00:20.264495,FKusbCIzcH,xqpbj,4,2,3,0,1,5,1,1,2,None,10:00 - 12:00;12:00 - 2:00,None,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,mrvbp; frmob
2017-04-24 21:00:20.264587,hMQSaKOaIU,bbbdz,3,1,5,0,3,5,5,5,3,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,2:00 - 4:00;4:00 - 6:00,10:00 - 12:00;2:00 - 4:00;,12:00 - 2:00;2:00 - 4:00,nuzlg; qwynq
2017-04-24 21:00:20.264679,kYuiCJooPk,gvyho,3,5,0,0,0,4,5,5,3,None,10:00 - 12:00,10:00 - 12:00;12:00 - 2:00,12:00 - 2:00;2:00 - 4:00,10:00 - 12:00;2:00 - 4:00;,itppz; rzwck
2017-04-24 21:00:20.264770,FeeqDxxJRs,kkbih,0,0,4,2,5,3,4,4,1,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00,None,12:00 - 2:00;2:00 - 4:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,gwbfz; mtzil
2017-04-24 21:00:20.264864,qZEHgptfME,ehcnb,5,3,5,1,2,4,4,3,4,2:00 - 4:00;4:00 - 6:00,2:00 - 4:00;4:00 - 6:00,2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00;4:00 - 6:00,12:00 - 2:00;2:00 - 4:00,ojbjl; oulhy
